#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
SteCoeF_080.g986.t1  -          CaMKII_AD            PF08332.17   1.4e+02    3.5   0.0   3.2e+02    2.3   0.0   1.6   1   0   0   1   1   1   0 -
SteCoeF_060.g4.t1    -          CaMKII_AD            PF08332.17   1.4e+02    3.5   0.1   2.5e+02    2.6   0.1   1.4   1   0   0   1   1   1   0 -
SteCoeF_002.g877.t1  -          CaMKII_AD            PF08332.17   1.4e+02    3.5   0.7   5.9e+02    1.4   0.2   2.2   2   0   0   2   2   2   0 -
SteCoeF_060.g79.t1   -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.2   2.6e+02    2.6   0.2   1.7   1   1   0   1   1   1   0 -
SteCoeF_056.g370.t1  -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.0   2.2e+02    2.8   0.0   1.4   1   1   0   1   1   1   0 -
SteCoeF_073.g843.t1  -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.1   2.5e+02    2.6   0.1   1.4   1   1   0   1   1   1   0 -
SteCoeF_048.g973.t1  -          CaMKII_AD            PF08332.17   1.4e+02    3.4   2.9   5.4e+02    1.5   0.0   3.1   3   0   0   3   3   3   0 -
SteCoeF_114.g1016.t1 -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.0   5.3e+02    1.6   0.0   1.9   2   0   0   2   2   2   0 -
SteCoeF_073.g850.t1  -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.0   4.2e+02    1.9   0.0   1.7   1   0   0   1   1   1   0 -
SteCoeF_122.g985.t1  -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.0     1e+03    0.6   0.0   2.0   2   0   0   2   2   2   0 -
SteCoeF_061.g314.t1  -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.0   4.2e+02    1.9   0.0   1.7   1   0   0   1   1   1   0 -
SteCoeF_030.g985.t1  -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.0   2.6e+02    2.6   0.0   1.4   1   0   0   1   1   1   0 -
SteCoeF_031.g32.t1   -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.0   3.7e+02    2.1   0.0   1.7   1   0   0   1   1   1   0 -
SteCoeF_065.g228.t1  -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.2     2e+02    2.9   0.2   1.4   1   1   0   1   1   1   0 -
SteCoeF_071.g406.t1  -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.3     5e+02    1.6   0.2   1.8   2   0   0   2   2   2   0 -
SteCoeF_057.g575.t1  -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.0   1.6e+02    3.2   0.0   1.1   1   0   0   1   1   1   0 -
SteCoeF_035.g48.t1   -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.0   2.6e+02    2.5   0.0   1.4   1   0   0   1   1   1   0 -
SteCoeF_064.g957.t1  -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.0   2.8e+02    2.4   0.0   1.4   1   0   0   1   1   1   0 -
SteCoeF_053.g825.t1  -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.0   2.2e+02    2.8   0.0   1.3   1   0   0   1   1   1   0 -
SteCoeF_072.g636.t1  -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.0   1.8e+02    3.1   0.0   1.3   1   0   0   1   1   1   0 -
SteCoeF_099.g1056.t1 -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.2   4.6e+02    1.8   0.2   1.7   1   0   0   1   1   1   0 -
SteCoeF_031.g42.t1   -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.0   7.5e+02    1.1   0.0   2.1   2   0   0   2   2   2   0 -
SteCoeF_064.g1120.t1 -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.0   3.4e+02    2.2   0.0   1.6   1   0   0   1   1   1   0 -
SteCoeF_153.g537.t1  -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.0   1.6e+02    3.2   0.0   1.1   1   0   0   1   1   1   0 -
SteCoeF_008.g450.t1  -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.1   4.2e+02    1.9   0.1   1.7   1   0   0   1   1   1   0 -
SteCoeF_109.g182.t1  -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.0     3e+02    2.4   0.0   1.5   1   0   0   1   1   1   0 -
SteCoeF_076.g116.t1  -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.6   7.7e+02    1.0   0.0   2.4   3   0   0   3   3   3   0 -
SteCoeF_022.g1130.t1 -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.3   2.9e+02    2.4   0.3   1.6   1   0   0   1   1   1   0 -
SteCoeF_136.g509.t1  -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.0   1.2e+03    0.4   0.0   2.0   2   0   0   2   2   2   0 -
SteCoeF_045.g191.t1  -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.1   8.7e+02    0.9   0.0   2.2   2   0   0   2   2   2   0 -
SteCoeF_071.g252.t1  -          CaMKII_AD            PF08332.17   1.4e+02    3.4   0.1   5.7e+02    1.5   0.0   1.9   2   0   0   2   2   2   0 -
SteCoeF_035.g173.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.4   1.7   2.7e+03   -0.7   0.0   3.4   4   0   0   4   4   4   0 -
SteCoeF_073.g720.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.4   0.0   2.3e+02    2.7   0.0   1.3   1   0   0   1   1   1   0 -
SteCoeF_060.g36.t1   -          CaMKII_AD            PF08332.17   1.5e+02    3.4   0.0   3.1e+02    2.3   0.0   1.5   1   0   0   1   1   1   0 -
SteCoeF_041.g360.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.4   0.0     2e+02    2.9   0.0   1.1   1   0   0   1   1   1   0 -
SteCoeF_023.g25.t1   -          CaMKII_AD            PF08332.17   1.5e+02    3.4   0.1     6e+02    1.4   0.1   2.0   2   0   0   2   2   2   0 -
SteCoeF_162.g879.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.4   0.0   1.6e+02    3.3   0.0   1.2   1   0   0   1   1   1   0 -
SteCoeF_014.g1165.t1 -          CaMKII_AD            PF08332.17   1.5e+02    3.4   0.0   1.5e+02    3.4   0.0   1.1   1   0   0   1   1   1   0 -
SteCoeF_038.g932.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.4   0.0   3.6e+02    2.1   0.0   1.6   1   0   0   1   1   1   0 -
SteCoeF_064.g1028.t1 -          CaMKII_AD            PF08332.17   1.5e+02    3.4   0.0   3.9e+02    2.0   0.0   1.7   1   0   0   1   1   1   0 -
SteCoeF_008.g587.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.4   0.1   4.4e+02    1.8   0.1   1.7   1   0   0   1   1   1   0 -
SteCoeF_040.g251.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.4   1.5   6.6e+02    1.3   0.0   2.3   3   0   0   3   3   3   0 -
SteCoeF_022.g1135.t1 -          CaMKII_AD            PF08332.17   1.5e+02    3.4   0.0     3e+02    2.4   0.0   1.4   1   0   0   1   1   1   0 -
SteCoeF_031.g219.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.4   0.2     4e+02    1.9   0.2   1.7   1   1   0   2   2   2   0 -
SteCoeF_082.g33.t1   -          CaMKII_AD            PF08332.17   1.5e+02    3.4   0.0     3e+02    2.3   0.0   1.4   1   0   0   1   1   1   0 -
SteCoeF_083.g193.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.4   0.1   3.7e+02    2.1   0.0   1.7   1   1   1   2   2   2   0 -
SteCoeF_004.g193.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.3   0.7   1.1e+03    0.6   0.0   2.2   2   0   0   2   2   2   0 -
SteCoeF_015.g153.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.3   0.0   1.7e+02    3.1   0.0   1.2   1   1   0   1   1   1   0 -
SteCoeF_132.g93.t1   -          CaMKII_AD            PF08332.17   1.5e+02    3.3   0.0   2.4e+02    2.7   0.0   1.3   1   1   0   1   1   1   0 -
SteCoeF_067.g556.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.3   0.1   3.2e+02    2.3   0.1   1.5   1   0   0   1   1   1   0 -
SteCoeF_082.g106.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.3   0.0   8.9e+02    0.8   0.0   2.2   1   0   0   1   1   1   0 -
SteCoeF_099.g989.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.3   0.1   5.5e+02    1.5   0.1   1.9   1   1   0   1   1   1   0 -
SteCoeF_079.g586.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.3   0.0     7e+02    1.2   0.0   2.1   1   0   0   1   1   1   0 -
SteCoeF_091.g615.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.3   0.0   3.4e+02    2.2   0.0   1.5   1   0   0   1   1   1   0 -
SteCoeF_037.g675.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.3   0.1     1e+03    0.7   0.0   2.2   3   1   1   4   4   4   0 -
SteCoeF_160.g834.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.3   0.1   1.3e+03    0.3   0.0   2.4   2   0   0   2   2   2   0 -
SteCoeF_183.g294.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.3   0.1   4.7e+02    1.7   0.1   1.7   1   0   0   1   1   1   0 -
SteCoeF_002.g917.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.3   0.0   4.2e+02    1.9   0.0   1.7   1   0   0   1   1   1   0 -
SteCoeF_105.g763.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.3   0.2     8e+02    1.0   0.1   2.0   2   0   0   2   2   2   0 -
SteCoeF_069.g1033.t1 -          CaMKII_AD            PF08332.17   1.5e+02    3.3   0.1   3.7e+02    2.1   0.1   1.6   1   0   0   1   1   1   0 -
SteCoeF_008.g415.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.3   1.2   6.6e+02    1.2   0.0   2.6   3   1   0   3   3   3   0 -
SteCoeF_016.g564.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.3   0.1   4.3e+02    1.8   0.1   1.7   1   0   0   1   1   1   0 -
SteCoeF_026.g1111.t1 -          CaMKII_AD            PF08332.17   1.5e+02    3.3   0.0   1.2e+03    0.5   0.0   2.1   2   0   0   2   2   2   0 -
SteCoeF_052.g683.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.3   0.6   4.6e+02    1.7   0.5   1.8   1   1   0   1   1   1   0 -
SteCoeF_092.g918.t1  -          CaMKII_AD            PF08332.17   1.5e+02    3.3   0.2   2.1e+03   -0.4   0.0   2.4   2   0   0   2   2   2   0 -
SteCoeF_064.g1011.t1 -          CaMKII_AD            PF08332.17   1.5e+02    3.3   0.0   1.5e+03    0.1   0.1   2.4   3   0   0   3   3   3   0 -
SteCoeF_144.g1153.t1 -          CaMKII_AD            PF08332.17   1.6e+02    3.3   0.1   2.3e+03   -0.5   0.0   2.7   2   0   0   2   2   2   0 -
SteCoeF_023.g140.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.3   0.1   9.7e+02    0.7   0.0   2.1   2   0   0   2   2   2   0 -
SteCoeF_088.g42.t1   -          CaMKII_AD            PF08332.17   1.6e+02    3.3   0.8   1.1e+03    0.5   0.1   2.4   4   1   0   4   4   4   0 -
SteCoeF_025.g668.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.3   0.1   5.6e+02    1.5   0.0   1.8   2   0   0   2   2   2   0 -
SteCoeF_105.g692.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.3   0.0   4.1e+02    1.9   0.0   1.6   1   0   0   1   1   1   0 -
SteCoeF_038.g845.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.3   0.8   2.2e+03   -0.5   0.0   2.7   2   1   1   3   3   3   0 -
SteCoeF_082.g123.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.3   0.0   4.7e+02    1.7   0.0   1.8   1   0   0   1   1   1   0 -
SteCoeF_001.g222.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.3   0.0   6.6e+02    1.3   0.0   1.8   2   0   0   2   2   2   0 -
SteCoeF_097.g597.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.3   0.8     9e+02    0.8   0.2   2.5   2   1   0   2   2   2   0 -
SteCoeF_117.g356.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.3   0.6   3.8e+02    2.0   0.1   1.7   1   1   0   1   1   1   0 -
SteCoeF_055.g222.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.3   0.0   4.2e+02    1.9   0.0   1.6   1   1   1   2   2   2   0 -
SteCoeF_043.g894.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.3   0.0   4.2e+02    1.9   0.0   1.6   2   0   0   2   2   2   0 -
SteCoeF_059.g1021.t1 -          CaMKII_AD            PF08332.17   1.6e+02    3.3   0.1   6.4e+02    1.3   0.0   1.7   2   0   0   2   2   2   0 -
SteCoeF_023.g209.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.3   0.2   1.2e+03    0.4   0.2   2.2   2   0   0   2   2   2   0 -
SteCoeF_071.g363.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.3   0.0   3.2e+02    2.3   0.0   1.4   1   0   0   1   1   1   0 -
SteCoeF_096.g376.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.2   0.0     5e+02    1.6   0.0   1.7   2   0   0   2   2   2   0 -
SteCoeF_020.g441.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.2   0.1   1.3e+03    0.3   0.1   2.4   1   0   0   1   1   1   0 -
SteCoeF_006.g975.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.2   0.0   3.2e+02    2.3   0.0   1.4   1   0   0   1   1   1   0 -
SteCoeF_015.g217.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.2   0.1     1e+03    0.6   0.0   2.1   2   0   0   2   2   2   0 -
SteCoeF_071.g242.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.2   0.1   8.3e+02    0.9   0.0   2.1   2   0   0   2   2   2   0 -
SteCoeF_132.g113.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.2   0.2   9.2e+02    0.8   0.0   2.0   1   1   0   2   2   2   0 -
SteCoeF_072.g644.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.2   0.0   5.7e+02    1.4   0.0   1.8   2   0   0   2   2   2   0 -
SteCoeF_020.g331.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.2   0.8   4.6e+02    1.8   0.6   1.8   1   1   1   2   2   2   0 -
SteCoeF_065.g154.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.2   0.0   5.8e+02    1.4   0.0   1.8   2   0   0   2   2   2   0 -
SteCoeF_110.g433.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.2   0.0   1.6e+03    0.0   0.0   2.2   2   0   0   2   2   2   0 -
SteCoeF_084.g452.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.2   0.1   2.3e+02    2.7   0.1   1.3   1   1   0   1   1   1   0 -
SteCoeF_004.g112.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.2   0.0   2.3e+02    2.7   0.0   1.3   1   0   0   1   1   1   0 -
SteCoeF_015.g110.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.2   0.1   5.2e+02    1.6   0.1   1.8   1   0   0   1   1   1   0 -
SteCoeF_059.g1039.t1 -          CaMKII_AD            PF08332.17   1.6e+02    3.2   0.2   3.8e+02    2.0   0.2   1.6   1   0   0   1   1   1   0 -
SteCoeF_027.g218.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.2   0.1   4.7e+02    1.7   0.1   1.6   1   1   1   2   2   2   0 -
SteCoeF_137.g528.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.2   0.2   4.4e+02    1.8   0.1   1.7   2   0   0   2   2   2   0 -
SteCoeF_095.g238.t1  -          CaMKII_AD            PF08332.17   1.6e+02    3.2   0.1     6e+02    1.4   0.0   1.7   1   1   1   2   2   2   0 -
SteCoeF_030.g815.t1  -          CaMKII_AD            PF08332.17   1.7e+02    3.2   0.0   3.1e+02    2.3   0.0   1.4   1   0   0   1   1   1   0 -
SteCoeF_167.g1073.t1 -          CaMKII_AD            PF08332.17   1.7e+02    3.2   0.1   4.8e+02    1.7   0.1   1.8   2   0   0   2   2   2   0 -
SteCoeF_090.g480.t1  -          CaMKII_AD            PF08332.17   1.7e+02    3.2   0.4   1.5e+03    0.1   0.0   2.2   2   0   0   2   2   2   0 -
SteCoeF_015.g198.t1  -          CaMKII_AD            PF08332.17   1.7e+02    3.2   0.1   5.4e+02    1.5   0.1   1.8   1   0   0   1   1   1   0 -
SteCoeF_034.g926.t1  -          CaMKII_AD            PF08332.17   1.7e+02    3.2   0.0   5.8e+02    1.4   0.0   1.8   1   0   0   1   1   1   0 -
SteCoeF_061.g265.t1  -          CaMKII_AD            PF08332.17   1.7e+02    3.2   0.0     3e+02    2.3   0.0   1.4   1   0   0   1   1   1   0 -
SteCoeF_027.g77.t1   -          CaMKII_AD            PF08332.17   1.7e+02    3.2   0.0   2.5e+02    2.6   0.0   1.3   1   0   0   1   1   1   0 -
SteCoeF_091.g711.t1  -          CaMKII_AD            PF08332.17   1.7e+02    3.2   0.0   4.2e+02    1.9   0.0   1.7   1   0   0   1   1   1   0 -
SteCoeF_125.g268.t1  -          CaMKII_AD            PF08332.17   1.7e+02    3.2   0.1   3.1e+02    2.3   0.1   1.4   1   0   0   1   1   1   0 -
SteCoeF_064.g1070.t1 -          CaMKII_AD            PF08332.17   1.7e+02    3.2   0.0   2.7e+02    2.5   0.0   1.3   1   0   0   1   1   1   0 -
SteCoeF_012.g459.t1  -          CaMKII_AD            PF08332.17   1.7e+02    3.2   0.1   1.1e+03    0.5   0.0   1.8   1   1   0   2   2   2   0 -
SteCoeF_002.g689.t1  -          CaMKII_AD            PF08332.17   1.7e+02    3.2   0.0     6e+02    1.4   0.0   1.8   2   0   0   2   2   2   0 -
SteCoeF_083.g323.t1  -          CaMKII_AD            PF08332.17   1.7e+02    3.2   0.2   6.1e+03   -1.9   0.0   2.7   3   0   0   3   3   3   0 -
SteCoeF_123.g17.t1   -          CaMKII_AD            PF08332.17   1.7e+02    3.2   0.0     2e+02    2.9   0.0   1.3   1   1   0   1   1   1   0 -
SteCoeF_031.g138.t1  -          CaMKII_AD            PF08332.17   1.7e+02    3.2   0.1   1.2e+03    0.4   0.0   2.1   2   0   0   2   2   2   0 -
SteCoeF_005.g509.t1  -          CaMKII_AD            PF08332.17   1.7e+02    3.2   0.2   8.1e+02    1.0   0.0   2.1   2   0   0   2   2   2   0 -
SteCoeF_001.g61.t1   -          CaMKII_AD            PF08332.17   1.7e+02    3.2   0.0   4.9e+02    1.7   0.0   1.7   1   0   0   1   1   1   0 -
SteCoeF_029.g607.t1  -          CaMKII_AD            PF08332.17   1.7e+02    3.2   0.1     1e+03    0.7   0.0   2.2   2   0   0   2   2   2   0 -
SteCoeF_055.g54.t1   -          CaMKII_AD            PF08332.17   1.7e+02    3.1   0.1   3.6e+02    2.1   0.1   1.7   1   1   0   1   1   1   0 -
SteCoeF_051.g452.t1  -          CaMKII_AD            PF08332.17   1.7e+02    3.1   0.1   4.7e+02    1.7   0.1   1.7   1   0   0   1   1   1   0 -
SteCoeF_028.g485.t1  -          CaMKII_AD            PF08332.17   1.7e+02    3.1   0.0   1.2e+03    0.4   0.0   2.3   1   0   0   1   1   1   0 -
SteCoeF_098.g779.t1  -          CaMKII_AD            PF08332.17   1.7e+02    3.1   0.2   1.7e+03   -0.1   0.0   2.3   3   0   0   3   3   3   0 -
SteCoeF_003.g1136.t1 -          CaMKII_AD            PF08332.17   1.7e+02    3.1   0.1   1.1e+03    0.5   0.0   2.0   2   0   0   2   2   2   0 -
SteCoeF_069.g1024.t1 -          CaMKII_AD            PF08332.17   1.7e+02    3.1   0.0   3.7e+02    2.1   0.0   1.5   1   0   0   1   1   1   0 -
SteCoeF_013.g824.t1  -          CaMKII_AD            PF08332.17   1.7e+02    3.1   0.0   3.5e+02    2.1   0.0   1.4   1   0   0   1   1   1   0 -
SteCoeF_115.g21.t1   -          CaMKII_AD            PF08332.17   1.7e+02    3.1   0.5   3.9e+03   -1.2   0.0   2.9   3   0   0   3   3   3   0 -
SteCoeF_010.g1184.t1 -          CaMKII_AD            PF08332.17   1.7e+02    3.1   0.0   4.6e+02    1.8   0.0   1.6   1   0   0   1   1   1   0 -
SteCoeF_080.g992.t1  -          CaMKII_AD            PF08332.17   1.7e+02    3.1   5.3   4.8e+03   -1.5   0.0   5.4  11   0   0  11  11  11   0 -
SteCoeF_132.g64.t1   -          CaMKII_AD            PF08332.17   1.7e+02    3.1   0.1   4.3e+02    1.9   0.0   1.7   1   1   0   1   1   1   0 -
SteCoeF_094.g31.t1   -          CaMKII_AD            PF08332.17   1.7e+02    3.1   0.0   7.4e+02    1.1   0.0   2.0   2   0   0   2   2   2   0 -
SteCoeF_067.g581.t1  -          CaMKII_AD            PF08332.17   1.7e+02    3.1   0.2   6.8e+02    1.2   0.1   1.8   1   1   1   2   2   2   0 -
SteCoeF_115.g15.t1   -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.1   1.3e+03    0.3   0.0   2.3   2   1   0   2   2   2   0 -
SteCoeF_028.g374.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.5   6.7e+02    1.2   0.1   2.1   3   0   0   3   3   3   0 -
SteCoeF_053.g780.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.1   4.3e+02    1.8   0.1   1.6   1   0   0   1   1   1   0 -
SteCoeF_110.g390.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.0   4.4e+02    1.8   0.0   1.6   1   1   0   1   1   1   0 -
SteCoeF_008.g640.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.5   6.9e+02    1.2   0.5   2.0   1   0   0   1   1   1   0 -
SteCoeF_099.g924.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.4   8.9e+02    0.8   0.1   2.0   1   1   1   2   2   2   0 -
SteCoeF_024.g484.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.0   4.1e+02    1.9   0.0   1.6   1   0   0   1   1   1   0 -
SteCoeF_014.g1023.t1 -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.2   1.1e+03    0.5   0.0   1.9   2   0   0   2   2   2   0 -
SteCoeF_010.g1213.t1 -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.0   7.7e+02    1.0   0.0   2.0   2   0   0   2   2   2   0 -
SteCoeF_002.g824.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.2   4.5e+02    1.8   0.2   1.6   1   0   0   1   1   1   0 -
SteCoeF_014.g1090.t1 -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.0   2.9e+02    2.4   0.0   1.3   1   0   0   1   1   1   0 -
SteCoeF_069.g1088.t1 -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.0   2.9e+02    2.4   0.0   1.3   1   0   0   1   1   1   0 -
SteCoeF_055.g24.t1   -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.0   3.9e+02    2.0   0.0   1.5   1   0   0   1   1   1   0 -
SteCoeF_037.g624.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.0   5.2e+02    1.6   0.0   1.7   1   0   0   1   1   1   0 -
SteCoeF_048.g792.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.1   4.5e+02    1.8   0.1   1.6   1   0   0   1   1   1   0 -
SteCoeF_171.g97.t1   -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.0   2.8e+02    2.5   0.0   1.4   1   0   0   1   1   1   0 -
SteCoeF_101.g187.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.4   1.2e+03    0.4   0.1   2.2   1   1   1   2   2   2   0 -
SteCoeF_005.g697.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.0   4.3e+02    1.9   0.0   1.6   2   0   0   2   2   2   0 -
SteCoeF_082.g127.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.0   4.5e+02    1.8   0.0   1.6   1   0   0   1   1   1   0 -
SteCoeF_082.g141.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.3   2.2e+03   -0.5   0.0   2.4   1   1   1   2   2   2   0 -
SteCoeF_110.g371.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.0   3.1e+03   -0.9   0.0   2.2   2   1   1   3   3   3   0 -
SteCoeF_023.g201.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.3   7.7e+02    1.0   0.1   2.0   2   1   1   3   3   3   0 -
SteCoeF_092.g854.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.0   5.8e+02    1.4   0.0   1.7   1   0   0   1   1   1   0 -
SteCoeF_111.g594.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.0   4.7e+02    1.7   0.0   1.6   1   0   0   1   1   1   0 -
SteCoeF_031.g12.t1   -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.4   2.3e+02    2.8   0.4   1.3   1   0   0   1   1   1   0 -
SteCoeF_007.g298.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.0   4.5e+02    1.8   0.0   1.7   1   1   0   1   1   1   0 -
SteCoeF_067.g688.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.5     5e+02    1.6   0.2   1.8   1   1   0   2   2   2   0 -
SteCoeF_067.g709.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.5     5e+02    1.6   0.2   1.8   1   1   0   2   2   2   0 -
SteCoeF_084.g496.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.1   0.0   6.1e+02    1.4   0.0   1.9   1   0   0   1   1   1   0 -
SteCoeF_135.g384.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.0   0.2   2.9e+02    2.4   0.1   1.6   1   1   0   1   1   1   0 -
SteCoeF_009.g839.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.0   0.2   4.4e+02    1.8   0.0   1.7   2   0   0   2   2   2   0 -
SteCoeF_125.g264.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.0   3.2   7.4e+03   -2.2   0.0   4.3   9   0   0   9   9   9   0 -
SteCoeF_013.g774.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.0   0.0   6.8e+02    1.2   0.0   1.8   1   0   0   1   1   1   0 -
SteCoeF_129.g846.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.0   0.0   1.6e+03    0.0   0.0   2.1   2   1   0   2   2   2   0 -
SteCoeF_047.g574.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.0   0.9   7.8e+02    1.0   0.1   2.4   2   0   0   2   2   2   0 -
SteCoeF_050.g207.t1  -          CaMKII_AD            PF08332.17   1.8e+02    3.0   0.0   1.5e+03    0.1   0.0   1.9   2   1   1   3   3   3   0 -
SteCoeF_090.g498.t1  -          CaMKII_AD            PF08332.17   1.9e+02    3.0   0.5   8.1e+02    1.0   0.4   2.0   1   1   0   1   1   1   0 -
SteCoeF_046.g389.t1  -          CaMKII_AD            PF08332.17   1.9e+02    3.0   0.0   4.6e+02    1.7   0.0   1.5   1   0   0   1   1   1   0 -
